The k = 1 symbol gate certificate
per mono-shell-passing species: canonical keys of the minimal symbols DERIVED from the
certified honeycombs (vertex stabilizer from the certified development ball, sigma0 by
descriptor-rigidity pullback through the certified pattern) vs the combinatorial census;
key-set equality certifies both directions: every census symbol realized, every certified
honeycomb's minimal symbol in the census, identification exact and radius-free

species                            derived  census  verdict
{cube:1 truncOct:1 tco:2}#1              1       1  MATCH
{tco:2 p8:2}#1                           1       1  MATCH
{truncOct:4}#1                           1       1  MATCH
{truncTet:1 truncCube:1 tco:2}#1         1       1  MATCH
{cube:1 truncCube:1 rco:1 p8:2}#1        1       1  MATCH
{cube:2 co:1 rco:2}#1                    1       1  MATCH
{oct:1 truncCube:4}#1                    1       1  MATCH
{tet:1 cube:1 rco:3}#1                   1       1  MATCH
{truncTet:2 co:1 truncOct:2}#1           1       1  MATCH
{cube:2 p6:2 p12:2}#1                    1       1  MATCH
{cube:2 p8:4}#1                          1       1  MATCH
{oct:2 co:4}#1                           1       1  MATCH
{p3:2 p12:4}#1                           1       1  MATCH
{p6:6}#1                                 1       1  MATCH
{cube:4 p3:2 p6:2}#2                     1       1  MATCH
{cube:8}#1                               1       1  MATCH
{p3:4 p6:4}#3                            1       1  MATCH
{tet:2 truncTet:6}#2                     1       1  MATCH
{cube:4 p3:6}#1                          2       2  MATCH
{cube:4 p3:6}#2                          1       1  MATCH
{p3:8 p6:2}#2                            1       1  MATCH
{p3:12}#1                                1       1  MATCH
{p3:12}#2                                1       1  MATCH
{tet:4 oct:3 p3:6}#1                     2       2  MATCH
{tet:8 oct:6}#1                          1       1  MATCH
{tet:8 oct:6}#2                          1       1  MATCH

species gated: 26; total symbols: 28; all match: true
gray-zone flags: 0
